TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED
0.0,,482.548,493.809,0,0,0.0,26.501015620991893,29.505438459840207,17.379923916173368,9.121091704818525,6.639423547117284,0.7154918975505877,,,,,0,0,0,0,
66.668,,482.313,489.673,0,0,0.066668,22.36707190201531,29.273455654520262,17.243276448601435,5.1237954534138765,5.371939518205164,0.40192931397537224,,,,,0,0,0,0,
133.337,,476.59,486.59,0,0,0.13333699999999998,19.286128092443107,23.55347260323481,13.873969842301213,5.4121582501418946,5.463375132780082,0.4245495497202807,,,,,0,0,0,0,
200.003,,474.133,485.338,0,0,0.200003,18.036184068920818,21.099489125018522,12.428472072330093,5.607711996590725,5.525382358371811,0.4398895030556785,,,,,0,0,0,0,
266.667,,475.739,483.759,0,0,0.266667,16.45923986230912,22.708505265184215,13.376249130775332,3.082990731533787,4.724830265243869,0.24184110411593235,,,,,0,0,0,0,
333.335,,471.732,482.384,0,0,0.333335,15.086295657638573,18.704521295214306,11.017736960270206,4.068558697368367,5.037339415813775,0.31915267129023545,,,,,0,0,0,0,
399.999,,468.115,477.98,0,0,0.39999900000000005,10.684351208225905,15.090536853224307,8.88895064284805,1.7954005653778555,4.316554303507618,0.14083780746409658,,,,,0,0,0,0,
466.668,,468.463,477.914,0,0,0.466668,10.620406791585822,15.441552346356104,9.095713286953595,1.5246935046322267,4.230717063926424,0.11960255242648857,,,,,0,0,0,0,
533.334,,465.884,479.945,0,0,0.533334,12.653462161058883,12.865567412782127,7.578351613570641,5.075110547488242,5.356502248403572,0.398110291335308,,,,,0,0,0,0,
600.0,,467.552,480.023,0,0,0.6,12.733517409152853,14.536582188233297,8.56264843257741,4.170868976575443,5.069780505173349,0.3271782649557536,,,,,0,0,0,0,
666.668,,468.725,480.33,0,0,0.666668,13.04257259752751,15.712596763172485,9.25536965935753,3.7872029381699797,4.948125630095219,0.29708209327715696,,,,,0,0,0,0,
733.334,,467.223,480.824,0,0,0.7333339999999999,13.538627602881263,14.213610956760874,8.372405018551838,5.166222584329425,5.385392539308898,0.40525745378459666,,,,,0,0,0,0,
800.0,,465.3,480.792,0,0,0.8,13.508682486877376,12.293624859470128,7.2414537930665634,6.267228693810813,5.734505432558166,0.4916244124756782,,,,,0,0,0,0,
866.665,,466.932,481.352,0,0,0.866665,14.070737218702334,13.928638426129623,8.204544411018363,5.866192807683971,5.607342833461896,0.4601656862138656,,,,,0,0,0,0,
933.331,,467.105,487.178,0,0,0.933331,19.898791860006725,14.10465174718064,8.308223537354367,11.590568322652357,7.42245837266378,0.9092067036759681,,,,,0,0,0,0,
999.999,,464.781,489.983,0,0,0.999999,22.70584644160948,11.783664867835626,6.941066265104081,15.7647801765054,8.746039744996445,1.2366471961900045,,,,,0,0,0,0,
1066.666,,466.138,488.942,0,0,1.066666,21.666900871060648,13.143677652532176,7.742170047938029,13.92473082312262,8.162587075706996,1.0923069739835913,,,,,0,0,0,0,
1133.335,,467.379,494.139,0,0,1.133335,26.865955240813605,14.387690236870469,8.474944914777831,18.391010326035776,9.578778816964785,1.442658324452138,,,,,0,0,0,0,
1199.997,,471.526,496.293,0,0,1.199997,29.022009273558865,18.53770221423025,10.919473621624439,18.102535651934424,9.487307727715244,1.4200293126356003,,,,,0,0,0,0,
1266.668,,470.873,493.61,0,0,1.266668,26.34106346230061,17.887714307555484,10.536603859889327,15.804459602411283,8.758621509131247,1.2397597959372606,,,,,0,0,0,0,
1333.333,,470.655,492.675,0,0,1.333333,25.40811734487528,17.67272583918168,10.409966759695921,14.998150585179358,8.502952742686887,1.1765099583715832,,,,,0,0,0,0,
1399.998,,467.797,492.956,0,0,1.399998,25.691171106160596,14.817737080224447,8.728260293047262,16.962910813113332,9.1259494016593,1.330632959127486,,,,,0,0,0,0,
1466.665,,466.287,493.216,0,0,1.4666649999999999,25.95322480777247,13.310748121042025,7.840581464234342,18.11264334353813,9.490512728513561,1.42082219704894,,,,,0,0,0,0,
1533.336,,469.786,489.157,0,0,1.533336,21.896278511312573,16.812759051957926,9.90341075220205,11.992867759110524,7.550021625042656,0.940764547461589,,,,,0,0,0,0,
1599.997,,464.002,489.884,0,0,1.5999970000000001,22.62533178555475,11.031769240788776,6.498168640977753,16.127163144576997,8.860946070545648,1.265073845746503,,,,,0,0,0,0,
1666.67,,467.661,487.656,0,0,1.66667,20.39938530813862,14.693779681000137,8.655244257796529,11.74414105034209,7.471154032775238,0.9212535118764271,,,,,0,0,0,0,
1733.334,,468.599,489.979,0,0,1.7333340000000002,22.724438432265174,15.634789424405653,9.209537918568225,13.514900513696949,8.032635893935414,1.0601583808925024,,,,,0,0,0,0,
1800.003,,467.779,488.918,0,0,1.800003,21.665491589125736,14.81779910313486,8.728296827106877,12.937194762018859,7.849453870985441,1.014841022195661,,,,,0,0,0,0,
1866.667,,469.861,487.674,0,0,1.8666669999999999,20.423544470764682,16.902808265783392,9.956453463747515,10.467091007017167,7.066220189438737,0.8210770211299404,,,,,0,0,0,0,
1933.331,,470.061,487.523,0,0,1.933331,20.27459723117522,17.105817138112116,10.076034086372088,10.198563144803133,6.981073941758296,0.8000127104203767,,,,,0,0,0,0,
2000.002,,469.381,487.217,0,0,2.000002,19.97065008589368,16.428826036051305,9.677258325652422,10.293391760241258,7.011142705240471,0.8074514149305041,,,,,0,0,0,0,
2066.668,,473.233,487.928,0,0,2.066668,20.683702665432122,20.28383441805346,11.948017712938302,8.73568495249382,6.5172167171794735,0.6852591778856888,,,,,0,0,0,0,
