TimeStamp,Events,CH1-410,CH1-470,ToneStart,PelletGrab
0.0,,658.711,679.397,0,0
66.665,,656.181,674.622,0,0
133.332,,652.666,672.107,0,0
199.997,,647.899,671.073,0,0
266.664,,641.93,669.313,0,0
333.33,,639.151,666.426,0,0
399.997,,636.551,661.447,0,0
466.661,,633.798,656.503,0,0
533.328,,632.888,652.355,0,0
599.994,,629.838,647.59,0,0
666.662,,628.217,643.204,0,0
733.328,,626.698,640.956,0,0
799.998,,624.786,640.889,0,0
866.666,,623.496,639.501,0,0
933.33,,623.044,640.382,0,0
999.997,,621.904,641.073,0,0
1066.667,,620.772,638.9,0,0
1133.329,,619.575,636.542,0,0
1199.995,,619.412,635.599,0,0
1266.664,,619.339,637.293,0,0
1333.33,,619.346,640.729,0,0
1399.998,,619.036,644.556,0,0
1466.663,,619.229,648.818,0,0
1533.334,,619.406,647.013,0,0
1599.995,,618.527,644.16,0,0
1666.66,,619.897,642.04,0,0
1733.328,,618.653,639.218,0,0
1799.998,,617.679,636.217,0,0
1866.665,,618.561,634.583,0,0
1933.331,,618.786,632.218,0,0
2000.0,,619.476,631.414,0,0
2066.666,,619.734,630.972,0,0
2133.327,,618.662,630.985,0,0
2200.0,,617.656,630.99,0,0
2266.662,,617.477,629.568,0,0
2333.33,,618.402,628.506,0,0
2400.0,,618.746,627.676,0,0
2466.662,,617.328,628.141,0,0
2533.329,,615.515,629.331,0,0
2599.996,,614.611,630.677,0,0
2666.666,,614.201,628.575,0,0
2733.329,,614.213,626.108,0,0
2799.996,,614.118,622.993,0,0
2866.664,,613.547,621.524,0,0
2933.328,,613.579,621.635,0,0
2999.998,,613.324,621.462,0,0
3066.665,,613.651,620.472,0,0
3133.329,,613.469,620.902,0,0
3199.995,,613.356,620.569,0,0
3266.666,,612.826,619.531,0,0
3333.327,,613.462,618.59,0,0
3399.999,,612.831,617.378,0,0
3466.665,,611.673,618.076,0,0
3533.328,,612.077,620.574,0,0
3599.999,,612.665,623.515,0,0
3666.664,,612.734,627.251,0,0
3733.333,,612.379,627.566,0,0
3799.998,,613.006,628.925,0,0
3866.667,,613.993,631.23,0,0
3933.329,,614.386,633.72,0,0
3999.998,,612.792,635.349,0,0
4066.661,,613.438,637.385,0,0
4133.334,,613.797,639.408,0,0
4199.997,,615.185,644.725,0,0
4266.662,,616.066,649.003,0,0
4333.329,,615.701,650.236,0,0
4399.995,,615.482,647.388,0,0
4466.663,,614.791,644.478,0,0
4533.332,,615.192,646.552,0,0
4599.997,,614.272,647.642,0,0
4666.661,,614.137,648.895,0,0
4733.33,,614.133,647.023,0,0
4800.0,,614.751,644.799,0,0
4866.664,,615.408,643.705,0,0
4933.33,,615.281,640.695,0,0
5000.0,,616.097,639.215,0,0
5066.667,,617.045,637.296,0,0
5133.334,,617.059,635.831,0,0
5199.995,,616.629,636.041,0,0
5266.661,,616.355,637.868,0,0
5333.33,,615.735,640.515,0,0
5399.994,,615.005,640.794,0,0
5466.662,,615.224,640.486,0,0
5533.328,,615.633,638.66,0,0
5599.994,,614.038,636.06,0,0
5666.666,,612.909,634.905,0,0
5733.328,,612.804,635.035,0,0
5799.998,,612.49,635.956,0,0
5866.662,,612.3,635.882,0,0
5933.327,,611.686,633.854,0,0
6000.0,,610.35,631.4,0,0
6066.662,,610.693,628.759,0,0
6133.332,,610.567,627.193,0,0
6199.994,,610.688,625.217,0,0
6266.666,,610.624,624.441,0,0
6333.334,,611.239,623.111,0,0
6399.994,,610.996,623.589,0,0
6466.662,,611.911,622.888,0,0
6533.329,,610.405,623.118,0,0
6599.996,,610.834,624.221,0,0
6666.662,,611.481,624.497,0,0
6733.332,,611.884,623.026,0,0
6799.994,,610.103,620.525,0,0
6866.661,,610.74,618.521,0,0
6933.332,,612.137,617.964,0,0
6999.999,,613.516,618.397,0,0
7066.667,,613.114,617.956,0,0
7133.332,,611.238,619.508,0,0
7200.0,,612.162,622.985,0,0
7266.66,,611.851,626.317,0,0
7333.332,,613.154,634.973,0,0
7399.995,,612.947,644.362,0,0
7466.663,,613.017,654.598,0,0
7533.331,,612.415,659.979,0,0
7599.996,,611.935,661.849,0,0
7666.664,,611.935,662.646,0,0
7733.328,,611.504,661.595,0,0
7799.997,,611.356,664.834,0,0
7866.665,,610.099,670.844,0,0
7933.327,,610.138,672.954,0,0
7999.995,,609.606,669.896,0,0
8066.667,,610.93,663.376,0,0
8133.332,,610.267,657.918,0,0
8199.995,,610.395,652.797,0,0
8266.662,,610.514,649.448,0,0
8333.331,,610.565,645.755,0,0
8399.995,,610.038,641.913,0,0
8466.663,,609.877,638.896,0,0
8533.328,,609.286,636.639,0,0
8599.995,,609.789,634.434,0,0
8666.663,,608.704,632.663,0,0
8733.331,,609.24,629.683,0,0
8799.995,,609.099,627.524,0,0
8866.667,,609.273,626.65,0,0
8933.331,,611.817,625.822,0,0
8999.998,,610.758,625.918,0,0
9066.667,,610.012,628.366,0,0
9133.331,,610.689,630.37,0,0
9199.999,,610.572,629.681,0,0
9266.663,,610.221,630.064,0,0
9333.329,,611.197,632.299,0,0
9399.999,,611.452,633.327,0,0
9466.661,,611.142,634.507,0,0
9533.331,,611.828,634.044,0,0
9599.998,,611.825,633.631,0,0
9666.666,,612.827,636.123,0,0
9733.329,,613.256,634.931,0,0
9799.995,,612.188,633.867,0,0
9866.661,,612.322,633.982,0,0
9933.332,,613.014,636.283,0,0
9999.995,,613.564,635.002,0,0
10066.665,,612.618,632.435,0,0
10133.333,,612.503,630.815,0,0
10199.994,,612.229,630.705,0,0
10266.663,,611.471,628.886,0,0
10333.332,,611.125,628.625,0,0
10399.995,,609.343,628.276,0,0
10466.666,,608.57,628.111,0,0
10533.329,,608.754,627.748,0,0
10599.998,,608.758,628.36,0,0
10666.665,,608.129,629.484,0,0
10733.328,,608.152,632.175,0,0
10799.995,,608.448,632.749,0,0
10866.664,,608.308,631.473,0,0
10933.332,,607.922,629.895,0,0
10999.998,,607.259,629.514,0,0
11066.666,,607.158,627.834,0,0
11133.33,,607.378,626.652,0,0
11199.996,,606.725,627.196,0,0
11266.665,,607.584,626.958,0,0
11333.329,,607.77,625.287,0,0
11399.994,,607.63,624.537,0,0
11466.662,,607.485,624.445,0,0
11533.33,,607.627,624.845,0,0
11599.995,,608.606,623.119,0,0
11666.661,,608.272,622.186,0,0
11733.332,,607.467,620.468,0,0
11799.995,,606.325,619.149,0,0
11866.665,,607.29,619.962,0,0
11933.33,,607.549,623.265,0,0
11999.994,,607.336,624.446,0,0
12066.663,,607.024,624.646,0,0
12133.33,,606.39,625.102,0,0
12199.995,,607.013,627.248,0,0
12266.664,,606.629,629.075,0,0
12333.33,,607.363,630.082,0,0
12399.997,,607.663,630.349,0,0
12466.66,,607.512,630.803,0,0
12533.334,,607.536,632.921,0,0
12600.0,,607.595,631.343,0,0
12666.667,,607.675,628.275,0,0
12733.333,,607.501,626.302,0,0
12800.0,,607.599,626.513,0,0
12866.664,,607.254,627.244,0,0
12933.327,,607.46,626.794,0,0
13000.0,,608.045,625.389,0,0
13066.663,,606.925,622.898,0,0
13133.331,,607.551,620.056,0,0
13199.998,,607.502,619.961,0,0
13266.664,,606.964,621.545,0,0
13333.329,,606.742,621.207,0,0
13399.996,,606.227,621.469,0,0
13466.663,,605.91,621.51,0,0
13533.33,,606.022,627.114,0,0
13599.995,,605.68,636.789,0,0
13666.661,,605.249,642.662,0,0
13733.328,,605.572,646.666,0,0
13799.995,,605.343,650.001,0,0
13866.666,,605.128,654.433,0,0
13933.327,,606.057,656.376,0,0
14000.0,,606.691,657.241,0,0
14066.663,,607.257,657.235,0,0
14133.333,,606.494,654.552,0,0
14199.998,,605.378,652.227,0,0
14266.663,,605.336,648.245,0,0
