TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z
0.0,,430.742,475.078,0,0,0.0,31.079571,20.57502,12.875291,18.20428,16.400065,1.761525
66.668,,427.729,477.607,0,0,0.066668,33.62098,17.58412,11.003546,22.617434,19.068525,2.188561
133.329,,426.304,477.976,0,0,0.133329,34.002383,16.181195,10.125577,23.876806,19.830018,2.310424
200.002,,423.62,475.286,0,0,0.200002,31.324783,13.519252,8.459698,22.865085,19.21827,2.212525
266.665,,422.478,472.095,0,0,0.266665,28.146177,12.399285,7.758808,20.38737,17.720093,1.972771
333.332,,421.607,469.537,0,0,0.333332,25.600567,11.550296,7.227499,18.373068,16.502124,1.777858
399.995,,420.068,468.237,0,0,0.399995,24.312952,10.033285,6.278133,18.034818,16.297598,1.745128
466.666,,419.506,468.79,0,0,0.466666,24.878334,9.493254,5.940175,18.938158,16.843812,1.832539
533.332,,420.001,467.486,0,0,0.533332,23.58671,10.010199,6.263687,17.323023,15.867203,1.676251
599.997,,419.461,464.157,0,0,0.599997,20.270081,9.492123,5.939467,14.330613,14.057811,1.386693
666.666,,418.894,461.489,0,0,0.666666,17.614448,8.947026,5.598339,12.016109,12.658321,1.162731
733.333,,418.688,459.991,0,0,0.733333,16.128811,8.762907,5.483114,10.645696,11.829686,1.030124
799.995,,418.256,458.407,0,0,0.799995,14.557167,8.352764,5.226442,9.330726,11.034575,0.902882
866.666,,417.22,456.817,0,0,0.866666,12.979521,7.338603,4.591766,8.387755,10.464398,0.811636
933.329,,415.934,457.269,0,0,0.933329,13.443869,6.074418,3.800622,9.643247,11.223545,0.933123
999.997,,416.604,457.114,0,0,0.999997,13.301213,6.766212,4.233556,9.067657,10.875508,0.877426
1066.663,,416.142,456.386,0,0,1.066663,12.585553,6.325984,3.958056,8.627497,10.609361,0.834834
1133.33,,415.41,455.704,0,0,1.13333,11.915887,5.615735,3.513573,8.402315,10.473202,0.813045
1199.999,,415.622,455.268,0,0,1.199999,11.492218,5.849465,3.659844,7.832374,10.128581,0.757895
1266.664,,415.772,454.045,0,0,1.266664,10.281543,6.021172,3.7673,6.514243,9.331559,0.630346
1333.334,,416.076,453.045,0,0,1.333334,9.293865,6.346859,3.97112,5.322745,8.611107,0.515052
1399.998,,416.229,452.216,0,0,1.399998,8.477181,6.521523,4.080427,4.396754,8.051197,0.425449
1466.668,,415.376,451.615,0,0,1.466668,7.888493,5.690167,3.560153,4.32834,8.00983,0.418829
