TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED
0.0,,536.353,684.219,0,0,0.0,51.441833390792794,37.5945291546991,7.478193582560007,43.963639808232784,13.126703394945213,2.03651066754339,,,,,0,0,0,0,
66.666,,533.949,676.492,0,0,0.066666,43.75942864366277,35.19263729246779,7.000416424301693,36.75901221936108,11.680252844988368,1.7027734928141256,,,,,0,0,0,0,
133.336,,533.81,670.905,0,0,0.133336,38.216980169759154,35.05574548768834,6.973186315192776,31.243793854566377,10.572979701653178,1.4472941675642557,,,,,0,0,0,0,
199.997,,534.787,661.076,0,0,0.199997,28.432479337111772,36.03485332929404,7.167947523866104,21.264531813245668,8.569474469803664,0.9850286752163105,,,,,0,0,0,0,
266.666,,529.82,652.256,0,0,0.266666,19.65693754489132,31.069961354834163,6.180346035257326,13.476591509633995,7.005914050304679,0.6242709314153471,,,,,0,0,0,0,
333.336,,527.131,649.448,0,0,0.333336,16.893350165599713,28.38306934296287,5.64587749811583,11.247472667483883,6.558380831498551,0.5210123222314331,,,,,0,0,0,0,
400.001,,527.419,649.871,0,0,0.400001,17.360713256231634,28.673177103979754,5.703584867805057,11.657128388426576,6.640626129474226,0.5399886456059082,,,,,0,0,0,0,
466.665,,523.967,636.983,0,0,0.466665,4.517029534586754,25.223284764365587,5.017342583447274,-0.5003130488605194,4.199814632125753,-0.023175807680164008,,,,,0,0,0,0,
533.336,,518.92,634.082,0,0,0.533336,1.6603043622654923,20.17839257704327,4.013827691340816,-2.3535233290753235,3.8277513997190127,-0.10902135007203338,,,,,0,0,0,0,
600.001,,515.633,631.326,0,0,0.600001,-1.051470845192739,16.893500131017504,3.3604066931996215,-4.4118775383923605,3.414502062213854,-0.20436969527597174,,,,,0,0,0,0,
666.669,,517.836,628.311,0,0,0.666669,-4.022290064627441,19.09860771082225,3.7990401095076543,-7.821330174135095,2.7299969189307687,-0.36230444984726556,,,,,0,0,0,0,
733.334,,515.435,624.129,0,0,0.7333339999999999,-8.160157222730732,16.699715126782223,3.321859558712644,-11.482016781443376,1.9950523168614818,-0.5318770184251858,,,,,0,0,0,0,
800.002,,514.724,619.631,0,0,0.800002,-12.614068297998983,15.990822568572355,3.180848767470219,-15.794917065469203,1.129164814588075,-0.731661828663412,,,,,0,0,0,0,
866.67,,514.84,618.312,0,0,0.8666699999999999,-13.889025228096443,16.108929941357758,3.2043423334488073,-17.09336756154525,0.8684789691403622,-0.7918094483343541,,,,,0,0,0,0,
933.336,,511.747,616.316,0,0,0.933336,-15.841029282884278,13.018037181924285,2.589511173768102,-18.43054045665238,0.6000189487358933,-0.8537507907053195,,,,,0,0,0,0,
1000.0,,510.136,615.029,0,0,1.0,-17.084080408956197,11.409144290281233,2.2694750031983246,-19.35355541215452,0.41470812266812307,-0.8965072551696242,,,,,0,0,0,0,
1066.67,,510.62,614.191,0,0,1.06667,-17.878173287116738,11.895251519288081,2.3661700018932112,-20.244343289009947,0.2358674263963802,-0.9377708771455892,,,,,0,0,0,0,
1133.332,,509.913,613.405,0,0,1.133332,-18.620317086167347,11.19035842645485,2.225954772362889,-20.846271858530237,0.11502010990743562,-0.9656537812516693,,,,,0,0,0,0,
1200.001,,510.618,609.969,0,0,1.2000009999999999,-22.012501887614576,11.89746548587317,2.3666103975164012,-24.379112285130976,-0.5942572142750752,-1.1293041806927466,,,,,0,0,0,0,
1266.67,,512.287,615.282,0,0,1.26667,-16.655732249997413,13.56857247630154,2.6990220108730316,-19.354754260870443,0.4144674335605916,-0.8965627889745911,,,,,0,0,0,0,
1333.334,,512.479,608.18,0,0,1.333334,-23.714011401777157,13.762679239731597,2.737633148738405,-26.45164455051556,-1.010353035757823,-1.2253092904992642,,,,,0,0,0,0,
1400.0,,513.932,612.089,0,0,1.4,-19.761334700040607,15.21778599738991,3.0270786406726744,-22.78841334071328,-0.27489756180356106,-1.0556188492850862,,,,,0,0,0,0,
1466.665,,515.18,609.664,0,0,1.4666649999999999,-22.14270406236801,16.467892654472735,3.275746124639242,-25.418450187007252,-0.8029218345091614,-1.1774490279707657,,,,,0,0,0,0,
1533.337,,509.682,616.819,0,0,1.533337,-14.944114210211524,10.971999463778786,2.1825194594297392,-17.12663366964126,0.86180023665116,-0.7933504213816424,,,,,0,0,0,0,
1600.003,,509.695,621.223,0,0,1.6000029999999998,-10.496573595119116,10.987106014514154,2.1855244094006028,-12.68209800451972,1.7541157627232948,-0.587467916343875,,,,,0,0,0,0,
1666.667,,509.138,628.098,0,0,1.666667,-3.578079547713969,10.432212433088466,2.075146634847898,-5.653226182561867,3.165280376998566,-0.2618722079664319,,,,,0,0,0,0,
1733.331,,507.776,626.753,0,0,1.733331,-4.8796307123838005,9.072318782702837,1.8046406499484824,-6.684271362332283,2.95828066064781,-0.30963291468863646,,,,,0,0,0,0,
1800.003,,508.801,623.774,0,0,1.800003,-7.815221834539443,10.099425316119437,2.0089496150941715,-9.824171449633614,2.327892739542533,-0.4550812909082082,,,,,0,0,0,0,
1866.667,,509.594,621.653,0,0,1.8666669999999999,-9.892863282876533,10.894531527813626,2.1671097688922196,-12.059973051768752,1.8790178439132317,-0.558649462995865,,,,,0,0,0,0,
1933.332,,508.061,619.474,0,0,1.933332,-12.028549148102798,9.363637702149106,1.8625889396565047,-13.891138087759302,1.5113805662472142,-0.6434738120737339,,,,,0,0,0,0,
2000.002,,508.576,615.351,0,0,2.000002,-16.108276788889157,9.880743965492911,1.9654501737124226,-18.07372696260158,0.6716552780721932,-0.8372222573507675,,,,,0,0,0,0,
2066.664,,510.405,609.003,0,0,2.0666640000000003,-22.41305459144371,11.711849907151532,2.32968830076234,-24.74274289220605,-0.6672621940740731,-1.1461485005348675,,,,,0,0,0,0,
2133.332,,509.083,610.717,0,0,2.133332,-20.655873428052928,10.391955969409878,2.0671389392807806,-22.72301236733371,-0.2617672129068725,-1.0525893053133817,,,,,0,0,0,0,
2199.998,,508.011,608.858,0,0,2.199998,-22.47173843605549,9.322061899541836,1.854318805128651,-24.326057241184138,-0.5836055190211216,-1.1268465324307735,,,,,0,0,0,0,
2266.667,,510.606,608.719,0,0,2.266667,-22.56764633301225,11.919167855495118,2.370927368088013,-24.93857370110026,-0.7065785331532851,-1.1552198952848542,,,,,0,0,0,0,
2333.33,,511.892,607.101,0,0,2.33333,-24.142602884894018,13.207273552983168,2.6271535077238184,-26.769756392617836,-1.0742193554642496,-1.2400450622128667,,,,,0,0,0,0,
2399.999,,511.378,604.408,0,0,2.3999989999999998,-26.792600295267334,12.695379371054969,2.525329045342145,-29.317929340609478,-1.5858080693209906,-1.3580830912288056,,,,,0,0,0,0,
2466.665,,513.274,603.844,0,0,2.466665,-27.31364432416467,14.593485025433267,2.902894555215032,-30.2165388793797,-1.7662190961946522,-1.3997090330217121,,,,,0,0,0,0,
2533.333,,513.769,598.736,0,0,2.5333330000000003,-32.37873170076716,15.090590674048201,3.0017773267019887,-35.38050902746915,-2.802973233521893,-1.6389176231050662,,,,,0,0,0,0,
2600.001,,511.274,593.243,0,0,2.6000010000000002,-37.82886366640389,12.597696253730987,2.5058982112822346,-40.33476187768613,-3.797623084805028,-1.8684115599852593,,,,,0,0,0,0,
2666.67,,509.96,589.983,0,0,2.66667,-41.046039531088354,11.28580179606621,2.2449400824946912,-43.29097961358305,-4.3911336746494,-2.0053512897482086,,,,,0,0,0,0,
2733.333,,509.138,593.358,0,0,2.733333,-37.628263738262945,10.465907079989961,2.081849073412371,-39.710112811675316,-3.672214245289582,-1.8394761831158533,,,,,0,0,0,0,
2800.002,,509.695,593.01,0,0,2.800002,-37.93352853998533,11.025012484477259,2.1930646512338683,-40.1265931912192,-3.7558297086298364,-1.8587686425087357,,,,,0,0,0,0,
2866.67,,508.936,598.425,0,0,2.86667,-32.475838380468645,10.268117788463258,2.0425054180523974,-34.518343798521045,-2.6298790167587804,-1.5989798769676544,,,,,0,0,0,0,
2933.335,,511.345,604.728,0,0,2.933335,-26.130194488625193,12.679222928799106,2.522115254084532,-28.652309742709726,-1.4521737042455112,-1.3272498522713037,,,,,0,0,0,0,
3000.001,,515.482,610.892,0,0,3.000001,-19.923594256042747,16.818328031802196,3.345453683654039,-23.269047939696787,-0.3713930671509591,-1.0778830997495588,,,,,0,0,0,0,
3066.666,,517.548,613.071,0,0,3.066666,-17.702038913075285,18.886433034321783,3.7568349563170367,-21.45887386939232,-0.007970080020604745,-0.9940311070491011,,,,,0,0,0,0,
3133.334,,514.351,611.231,0,0,3.1333339999999996,-19.499525860711174,15.691538062660754,3.121315987084198,-22.620841847795372,-0.24125475721743855,-1.047856499889266,,,,,0,0,0,0,
3200.0,,511.764,609.3,0,0,3.2,-21.388058240794294,13.106642958946395,2.6071363703960495,-23.995194611190342,-0.5171792635053049,-1.111520110905783,,,,,0,0,0,0,
3266.664,,508.495,606.648,0,0,3.266664,-23.9976360018386,9.839747723187713,1.9572953235895487,-25.95493132542815,-0.9106294749302961,-1.2023002360621708,,,,,0,0,0,0,
