pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,50,,,
3,4,20,,,
4,5,40,,,
5,6,25,,,
6,7,35,,,
7,8,45,,,
8,9,30,,,
9,10,20,,,
