pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,50,,,
2,3,10,,,
3,4,40,,,
4,5,30,,,
5,6,15,,,
6,7,45,,,
7,8,35,,,
8,9,25,,,
9,10,20,,,
