pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,30,,,
2,3,10,,,
3,4,15,,,
4,5,25,,,
5,6,13,,,
6,7,18,,,
7,8,40,,,
8,9,8,,,
9,10,50,,,
