pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,10,,,
2,3,10,,,
3,4,30,,,
4,5,15,,,
5,6,50,,,
6,7,5,,,
7,8,8,,,
8,9,18,,,
9,10,13,,,
