pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,20,,,
3,4,5,,,
4,5,8,,,
5,6,13,,,
6,7,18,,,
7,8,25,,,exclude
8,9,50,,,exclude
