pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,20,,,
3,4,50,,,
4,5,15,,,
5,6,60,,,
6,7,10,,,
7,8,30,,,
8,9,50,,,
9,10,25,,,
