TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
100053.59,,530.366,553.889,100.05359,-4.421167544912283,-0.26126821539639267
100120.253,,525.711,552.725,100.12025299999999,-4.3861436006921535,-0.259236390497451
100186.909,,525.459,553.888,100.186909,-4.452905498957755,-0.2631094119465514
100253.566,,524.749,554.527,100.253566,-4.676697624723174,-0.27609214200286314
100320.222,,523.55,553.69,100.320222,-5.021046223798822,-0.2960686487355189
100386.882,,525.672,553.165,100.386882,-5.340028093371058,-0.31457356927885766
100453.539,,528.013,552.55,100.453539,-5.412846499279949,-0.31879794358967245
100520.195,,526.645,551.254,100.520195,-5.031774001206493,-0.2966909934123552
100586.851,,526.376,553.418,100.586851,-4.1133560624826595,-0.24341131640609567
100653.511,,524.897,550.118,100.653511,-2.783622529329869,-0.16627021303303013
100720.167,,524.281,558.621,100.720167,-1.383528686061138,-0.08504733551447416
100786.825,,525.223,559.47,100.786825,-0.3617942826828898,-0.02577401701438151
100853.485,,526.176,561.767,100.853485,-0.08604695444979854,-0.00977723824499827
100920.14,,525.419,558.322,100.92014,-0.6738525080964024,-0.04387727998013027
100986.801,,525.196,554.059,100.986801,-1.9445859200203646,-0.11759564162542628
101053.455,,526.123,555.131,101.053455,-3.5114706477745816,-0.2084944674005278
101120.113,,524.993,551.311,101.120113,-4.952091126467075,-0.29206839442986404
101186.772,,528.168,549.471,101.18677199999999,-5.979412606753499,-0.3516658329634682
101253.433,,521.831,548.526,101.253433,-6.555941385719945,-0.38511168134359447
101320.086,,525.781,552.674,101.32008599999999,-6.905247090458091,-0.4053757619328223
101386.748,,533.665,552.212,101.38674800000001,-7.401265047693135,-0.43415098009494774
101453.404,,531.87,554.545,101.45340399999999,-8.380418827313497,-0.49095409218367864
101520.063,,537.671,548.692,101.520063,-9.975916338905307,-0.583512815720833
101586.721,,526.807,544.882,101.58672100000001,-12.06112676088076,-0.7044809861894041
101653.376,,535.193,545.536,101.65337600000001,-14.316493139640913,-0.8353203210112946
101720.036,,528.814,539.144,101.720036,-16.367057987358006,-0.9542786167503425
101786.691,,528.502,538.286,101.786691,-17.924007094371966,-1.044601052799615
101853.35,,527.871,539.192,101.85335,-18.877972813741707,-1.0999429437405621
101920.008,,530.396,537.774,101.920008,-19.30639735618291,-1.1247969021405249
101986.667,,530.139,543.355,101.986667,-19.390897845736628,-1.1296989827733888
102053.32,,530.145,541.451,102.05332000000001,-19.294553745796133,-1.1241098252560378
102119.981,,527.204,535.618,102.119981,-19.084693950385127,-1.1119353438520325
102186.636,,526.424,535.114,102.186636,-18.751010350549585,-1.092577539880752
102253.294,,525.142,542.024,102.253294,-18.26591885777856,-1.064436192718873
102319.956,,528.459,541.784,102.319956,-17.58507215467364,-1.0249386057242067
102386.609,,530.241,545.106,102.38660899999999,-16.569061821507574,-0.9659973545751612
102453.268,,528.585,544.775,102.453268,-14.914697419611151,-0.8700236183628942
102519.924,,529.022,545.247,102.519924,-12.193111045758872,-0.7121377182410223
102586.584,,530.525,548.55,102.586584,-8.019881386263743,-0.47003843102565934
102653.241,,530.688,551.245,102.653241,-2.3002768813864853,-0.13823014661121294
102719.895,,531.477,552.157,102.71989500000001,4.568698355426065,0.2602559527455815
102786.556,,528.996,574.137,102.78655599999999,11.691362822137972,0.6734591864908723
102853.214,,532.11,584.82,102.85321400000001,17.963075652320384,1.0372966288784304
102919.873,,528.467,589.346,102.91987300000001,22.56603982503435,1.3043258691112145
102986.53,,530.166,587.367,102.98653,25.37726537123529,1.4674119574572857
103053.188,,530.071,583.581,103.05318799999999,27.00929785898779,1.5620901645619951
103119.846,,529.853,573.282,103.11984600000001,28.445138220975696,1.6453867852982655
103186.5,,527.446,585.564,103.1865,30.49780512368207,1.764467026402442
103253.161,,529.052,591.231,103.25316099999999,33.431774978950486,1.9346738131427093
103319.814,,527.692,599.056,103.319814,36.94431560691082,2.13844490932702
103386.472,,525.513,603.346,103.386472,40.43460983677713,2.340925437399552
103453.132,,527.414,600.318,103.453132,43.327765005387135,2.508764464070484
103519.789,,527.301,604.478,103.519789,45.26754911212725,2.621296097340407
103586.445,,530.93,604.046,103.58644500000001,46.13946441343438,2.6718780423043853
103653.104,,531.477,600.71,103.65310400000001,45.99072686376343,2.6632494122754657
103719.764,,532.647,605.339,103.719764,44.93344168690302,2.601913706218915
103786.421,,533.543,601.451,103.786421,43.09026550437601,2.494986535559415
103853.078,,533.945,599.836,103.853078,40.59296506981934,2.3501120128277977
103919.732,,536.798,597.502,103.91973200000001,37.598614561004254,2.176402396294306
103986.39,,534.611,590.392,103.98639,34.285291569054856,1.9841884037477597
104053.052,,535.588,589.968,104.053052,30.823118911947574,1.7833392770779382
104119.704,,536.895,587.68,104.119704,27.345264760631064,1.5815804284708428
104186.364,,535.048,580.484,104.186364,23.937194462725504,1.3838699123420457
104253.021,,536.553,578.508,104.25302099999999,20.639489107909007,1.192561937227169
104319.683,,537.204,576.987,104.319683,17.465300573136844,1.0084194757628062
104386.336,,538.696,575.364,104.386336,14.448080852721366,0.8333831601786084
104452.994,,534.972,572.184,104.452994,11.707141280344445,0.6743745335474267
