Item1,Item2,Item3,Item4,Item5
52025.2264192,True,661.649231,59.4726372,False
52025.2264192,True,661.649231,59.4726372,True
52025.719667199999,True,661.649231,59.4726372,True
52025.719667199999,True,661.649231,NaN,True
52025.719667199999,True,NaN,NaN,True
52025.719667199999,False,NaN,NaN,True
52026.214745599995,False,NaN,NaN,True
52026.214745599995,False,NaN,NaN,True
52026.214745599995,False,NaN,NaN,True
52026.214745599995,False,NaN,NaN,True
52026.711577599999,False,NaN,NaN,True
52026.711577599999,False,NaN,NaN,True
52026.711577599999,False,NaN,NaN,True
52026.711577599999,False,NaN,NaN,True
52027.2231808,False,NaN,NaN,True
52027.2231808,False,NaN,NaN,True
52027.2231808,False,NaN,NaN,True
52027.2231808,False,NaN,NaN,True
52027.719065599995,False,NaN,NaN,True
52027.719065599995,False,NaN,NaN,True
52027.719065599995,False,NaN,NaN,True
52027.719065599995,False,NaN,NaN,True
52028.215398399996,False,NaN,NaN,True
52028.215398399996,False,NaN,NaN,True
52028.215398399996,False,NaN,NaN,True
52028.215398399996,False,NaN,NaN,True
52028.712,False,NaN,NaN,True
52028.712,False,NaN,NaN,True
52028.712,False,NaN,NaN,True
52028.712,False,NaN,NaN,True
52029.2237952,False,NaN,NaN,True
52029.2237952,False,NaN,NaN,True
52029.2237952,False,NaN,NaN,True
52029.2237952,False,NaN,NaN,True
52029.719142399998,False,NaN,NaN,True
52029.719142399998,False,NaN,NaN,True
52029.719142399998,False,NaN,NaN,True
52029.719142399998,False,NaN,NaN,True
52030.217190399999,False,NaN,NaN,True
52030.217190399999,False,NaN,NaN,True
52030.217190399999,False,NaN,NaN,True
52030.217190399999,False,NaN,NaN,True
52030.712191999999,False,NaN,NaN,True
52030.712191999999,False,NaN,NaN,True
52030.712191999999,False,NaN,NaN,True
52030.712191999999,False,NaN,NaN,True
52031.224601599999,False,NaN,NaN,True
52031.224601599999,False,NaN,NaN,True
52031.224601599999,False,NaN,NaN,True
52031.224601599999,False,NaN,NaN,True
52031.719014399998,False,NaN,NaN,True
52031.719014399998,False,NaN,NaN,True
52031.719014399998,False,NaN,NaN,True
52031.719014399998,False,NaN,NaN,True
52032.216307199997,False,NaN,NaN,True
52032.216307199997,False,NaN,NaN,True
52032.216307199997,False,NaN,NaN,True
52032.216307199997,False,NaN,NaN,True
52032.711897599998,False,NaN,NaN,True
52032.711897599998,False,NaN,NaN,True
52032.711897599998,False,NaN,NaN,True
52032.711897599998,False,NaN,NaN,True
52033.223859199999,False,NaN,NaN,True
52033.223859199999,False,NaN,NaN,True
52033.223859199999,False,NaN,NaN,True
52033.223859199999,False,NaN,NaN,True
52033.720243199998,False,NaN,NaN,True
52033.720243199998,False,NaN,NaN,True
52033.720243199998,False,NaN,NaN,True
52033.720243199998,False,NaN,NaN,True
52034.216422400001,False,NaN,NaN,True
52034.216422400001,False,NaN,NaN,True
52034.216422400001,False,NaN,NaN,True
52034.216422400001,False,NaN,NaN,True
52034.713484799999,False,NaN,NaN,True
52034.713484799999,False,NaN,NaN,True
52034.713484799999,False,NaN,NaN,True
52034.713484799999,False,NaN,NaN,True
52035.2240896,False,NaN,NaN,True
52035.2240896,False,NaN,NaN,True
52035.2240896,False,NaN,NaN,True
52035.2240896,False,NaN,NaN,True
52035.720128000001,False,NaN,NaN,True
52035.720128000001,False,NaN,NaN,True
52035.720128000001,False,NaN,NaN,True
52035.720128000001,False,NaN,NaN,True
52036.216332799995,False,NaN,NaN,True
52036.216332799995,False,NaN,NaN,True
52036.216332799995,False,NaN,NaN,True
52036.216332799995,False,NaN,NaN,True
52036.712447999998,False,NaN,NaN,True
52036.712447999998,False,NaN,NaN,True
52036.712447999998,False,NaN,NaN,True
52036.712447999998,False,NaN,NaN,True
52036.840652799998,False,NaN,NaN,True
52036.840652799998,False,NaN,NaN,True
52036.840652799998,False,NaN,NaN,True
52036.840652799998,False,NaN,NaN,True
52036.872614399996,False,NaN,NaN,True
52036.872614399996,False,NaN,45.2686958,True
52036.872614399996,False,643.432373,45.2686958,True
52036.872614399996,True,643.432373,45.2686958,True
52036.921420799998,True,643.432373,45.2686958,True
52036.921420799998,True,643.432373,48.5976753,True
52036.921420799998,True,635.511597,48.5976753,True
52036.921420799998,True,635.511597,48.5976753,True
52036.952678399997,True,635.511597,48.5976753,True
52036.952678399997,True,635.511597,48.3281403,True
52036.952678399997,True,637.0849,48.3281403,True
52036.952678399997,True,637.0849,48.3281403,True
52036.986111999999,True,637.0849,48.3281403,True
52036.986111999999,True,637.0849,50.0174255,True
52036.986111999999,True,635.819275,50.0174255,True
52036.986111999999,True,635.819275,50.0174255,True
52037.0184448,True,635.819275,50.0174255,True
52037.0184448,True,635.819275,50.6639137,True
52037.0184448,True,635.51123,50.6639137,True
52037.0184448,True,635.51123,50.6639137,True
52037.049843199995,True,635.51123,50.6639137,True
52037.049843199995,True,635.51123,51.3714752,True
52037.049843199995,True,635.606323,51.3714752,True
52037.049843199995,True,635.606323,51.3714752,True
52037.0819968,True,635.606323,51.3714752,True
52037.0819968,True,635.606323,53.1531029,True
52037.0819968,True,634.282043,53.1531029,True
52037.0819968,True,634.282043,53.1531029,True
52037.113830399998,True,634.282043,53.1531029,True
52037.113830399998,True,634.282043,55.4377899,True
52037.113830399998,True,632.154419,55.4377899,True
52037.113830399998,True,632.154419,55.4377899,True
