Item1,Item2,Item3,Item4,Item5
49421.664857600001,False,NaN,NaN,False
49422.174284799999,False,NaN,NaN,False
49422.668723199997,False,NaN,NaN,False
49423.166899199998,False,NaN,NaN,False
49423.661900799998,False,NaN,NaN,False
49424.173516800001,False,NaN,NaN,False
49424.669491199995,False,NaN,NaN,False
49424.925158400001,False,NaN,NaN,False
49424.958310399998,True,683.934265,296.86853,False
49424.9903872,False,244.257599,52.6052933,False
49425.021785599994,False,244.776642,51.3934746,False
49425.053951999995,False,245.854156,51.3522568,False
49425.0859776,False,244.72049,50.9960289,False
49425.118451199996,False,243.310776,55.1255264,False
49425.150950399999,False,241.426743,64.2070694,False
49425.199103999999,False,243.80809,67.0340118,False
49425.229503999995,False,243.145309,74.4630737,False
49425.262220799996,False,241.81958,86.8784714,False
49425.294847999998,False,238.363831,90.5756302,False
49425.326284800001,False,238.637085,91.1582947,False
49425.359423999995,False,239.514481,90.809639,False
49425.389849599997,False,240.966187,91.7129288,False
49425.4228736,False,245.353363,90.7672424,False
49425.470553599996,False,251.007889,91.0280609,False
49425.5009536,False,257.995331,88.7640991,False
49425.534732799999,False,267.953217,82.6665115,False
49425.566335999996,False,280.549042,75.1804199,False
49425.5988736,False,298.093506,68.9136658,False
49425.629849599994,False,319.036499,66.8040695,False
49425.663027199997,False,339.917786,67.6005325,False
49425.711167999994,False,373.929871,68.6368942,False
49425.742822399996,True,400.639099,68.0320816,False
49425.774796799997,True,424.748901,69.9203491,False
49425.8073344,True,436.082947,75.2589645,False
49425.839641599996,True,474.257568,82.7475433,False
49425.871590399998,True,493.002686,94.0330658,False
49425.902335999999,True,507.487976,101.775597,False
49425.935423999996,True,519.142517,108.089088,False
49425.983283199996,True,535.100403,113.824547,False
49426.014579199997,True,534.917603,121.679802,False
49426.047769599994,True,554.517151,135.758682,False
49426.078655999998,True,562.148743,148.970856,False
49426.111295999995,True,568.903503,161.71611,False
49426.143923199998,True,601.043884,194.144257,False
49426.176345599997,True,603.139832,201.686172,False
49426.207257599999,True,607.450378,211.185699,False
49426.255641600001,True,609.655762,214.062912,False
49426.285376,True,612.442749,219.802109,False
49426.318566399998,True,614.088623,224.626297,False
49426.350399999996,True,616.401978,227.798538,False
49426.382655999994,True,618.595032,230.511444,False
49426.414668799996,True,621.048584,233.943695,False
49426.448819199999,True,621.393433,233.692596,False
49426.478361599999,True,603.983154,219.714005,False
49426.527142399995,True,595.80304,219.470886,False
49426.560230399999,True,592.747375,221.881561,False
49426.590502399995,True,590.10791,221.893845,False
49426.624025599995,True,585.791748,222.555511,False
49426.654975999998,True,582.530212,224.62941,False
49426.6874752,True,579.977905,230.943207,False
49426.719974399995,True,576.120422,240.84671,False
49426.766182399995,True,573.773926,253.08313,False
49426.799423999997,True,567.466736,266.490021,False
49426.8320896,True,559.875122,282.438538,False
49426.863155200001,True,548.248962,303.009003,False
49426.896716799994,True,537.487183,327.090118,False
49426.928064,True,530.622131,342.77948,False
49426.960742399999,True,521.340942,365.826263,False
49426.991424,True,507.179871,390.950287,False
49427.039731199999,True,493.303436,414.761414,False
49427.070041599996,True,476.948425,424.813477,False
49427.1031936,True,465.299683,434.699432,False
49427.134950399995,True,452.727509,447.165588,False
49427.167091199997,True,444.702911,456.686249,False
49427.199859199995,True,441.281891,462.623077,False
49427.232511999995,True,437.44278,464.90155,False
49427.263756799999,True,434.357086,466.425568,False
49427.311743999999,True,434.429718,466.760315,False
49427.345292799997,True,435.289337,464.911469,False
49427.374656,True,436.87146,456.489471,False
49427.407411199994,True,440.571808,446.829926,False
49427.439103999997,True,445.707428,441.899872,False
49427.4705024,True,450.934448,435.480591,False
49427.502835200001,True,454.088898,431.298889,False
49427.552460799998,True,454.952484,431.05899,False
49427.583539200001,True,451.407379,427.552338,False
49427.616870400001,True,444.505096,423.548035,False
49427.648140799996,True,432.62677,420.683289,False
49427.6790272,True,416.240082,419.735077,False
49427.711974400001,False,395.057739,419.943481,False
49427.7446528,False,374.641357,418.106598,False
49427.776422399998,False,352.676453,420.124908,False
49427.824819199996,False,333.05719,424.403931,False
49427.855078399996,False,317.169617,431.294373,False
49427.888179199996,False,302.987274,432.372101,False
49427.919347199997,False,292.908875,431.283447,False
49427.952959999995,False,286.365448,430.609039,False
49427.984575999995,False,284.946808,427.637207,False
49428.016985599999,False,289.335663,422.752563,False
49428.048230399996,False,297.182343,418.644318,False
49428.097100799998,False,300.946442,412.194794,False
49428.127001599998,False,306.594757,405.273193,False
49428.160012799999,False,300.914154,400.194885,False
49428.190963199995,False,290.909454,392.738373,False
49428.224793599999,False,272.310059,385.322906,False
49428.255001599995,False,255.114456,380.438324,False
49428.286297599996,False,241.473694,377.114502,False
49428.319756799996,False,229.21434,374.560028,False
49428.368448000001,False,217.381378,370.944031,False
49428.401011199996,False,205.383255,365.40329,False
49428.4336128,False,195.34996,358.062012,False
49428.464217599998,False,192.775238,349.64917,False
49428.496831999997,False,188.941055,337.760742,False
49428.528358399999,False,184.31279,326.304443,False
49428.558886399995,False,178.665039,314.553925,False
49428.6092928,False,175.071991,307.042206,False
49428.639462399995,False,171.5793,300.227295,False
49428.6725888,False,166.235565,291.28891,False
49428.7043328,False,161.66478,286.664368,False
49428.734732799996,False,160.052933,283.309265,False
49428.768076799999,False,165.817322,281.960052,False
49428.799283199995,False,174.90802,283.906067,False
49428.832921599998,False,180.946075,284.041626,False
49428.880063999997,False,183.697083,276.043945,False
49428.911935999997,False,185.50354,264.169891,False
49428.943961599995,False,189.139938,248.156998,False
49428.975219199994,False,192.40799,226.288223,False
49429.008230399995,False,193.068024,208.111755,False
49429.039270399997,False,191.292099,198.909927,False
49429.071744000001,False,191.461334,197.964325,False
49429.103692799996,False,193.666489,199.903061,False
49429.153343999998,False,196.688171,201.254074,False
49429.183436799998,False,198.183868,202.849457,False
49429.216140799996,False,199.099823,205.751999,False
49429.246655999996,False,201.327286,213.461823,False
49429.280575999997,False,203.914352,230.049759,False
49429.311065599999,False,203.055038,252.808884,False
49429.344883199999,False,205.326523,267.492645,False
49429.392844800001,False,213.153442,276.197296,False
49429.424460800001,False,223.414276,281.096741,False
49429.455987199995,False,236.724884,280.823425,False
49429.489190399996,False,252.069046,278.4151,False
49429.519935999997,False,266.691132,276.333649,False
49429.553254399994,False,278.376068,276.469513,False
49429.583974399997,False,289.348206,278.871796,False
49429.615654399997,False,292.42984,279.520477,False
49429.664153599995,False,293.255646,281.698639,False
49429.69728,False,301.673157,286.057587,False
49429.728627199998,False,312.727142,292.568207,False
49429.760460799997,False,322.831757,303.691925,False
49429.792588799995,False,332.561859,321.796051,False
49429.824524799995,False,349.111328,331.516083,False
49429.855577599999,False,362.164886,334.064789,False
49429.887897599998,False,369.939026,342.424896,False
49429.9373184,False,378.038269,358.809906,False
49429.968524799995,False,391.425293,382.944153,False
49430.001561599995,True,407.702942,407.636505,False
49430.032281599997,True,407.352966,403.762207,False
49430.065497600001,True,416.734985,410.313263,False
49430.097062399997,True,422.041595,421.553619,False
49430.1289216,True,425.710236,444.410797,False
49430.160870399995,True,424.438324,454.715332,False
49430.207718400001,True,421.364258,459.262421,False
49430.239948800001,True,415.265045,458.71756,False
49430.272089599996,False,388.104004,439.597656,False
49430.301900799997,False,381.546783,427.327698,False
49430.336678399995,False,374.588654,412.270691,False
49430.367833600001,False,366.411865,401.447449,False
49430.399820799998,False,356.178314,391.872589,False
49430.448140799999,False,340.336548,388.017273,False
49430.480230399997,False,322.074066,389.897034,False
49430.512435199998,False,312.054993,398.170502,False
49430.544934400001,False,299.998352,403.760986,False
49430.576895999999,False,287.090607,407.636658,False
49430.609471999996,False,279.580658,411.863678,False
49430.639910400001,False,288.237488,418.246155,False
49430.671999999999,False,288.667725,426.891174,False
49430.720204799996,False,285.113525,436.007507,False
49430.7516416,False,287.383057,446.147095,False
49430.783948799995,False,275.561737,457.150177,False
49430.816998399998,False,257.844727,466.017639,False
49430.847935999998,False,241.840759,475.124176,False
49430.880844799998,False,225.678589,484.110321,False
49430.912153599995,False,207.284698,490.254059,False
49430.945062399995,False,190.143616,494.786957,False
49430.992921599995,False,176.630936,495.933533,False
49431.023232,False,166.657104,493.592133,False
49431.056588799998,False,157.913544,489.291138,False
49431.086528,False,146.977127,490.132874,False
49431.120985599999,False,143.525635,488.895874,False
49431.152486399995,False,141.771362,488.60733,False
49431.185011199996,False,142.562714,487.479156,False
49431.216051199997,False,148.710876,487.348389,False
49431.265459199996,False,150.494675,486.952545,False
49431.296524799996,False,144.03038,484.170624,False
49431.329651199994,False,141.002411,480.356659,False
49431.360076799996,False,138.493729,477.298828,False
49431.392383999999,False,135.491974,475.387726,False
49431.425740799998,False,134.5009,474.521637,False
49431.455795199996,False,132.961166,474.165192,False
49431.505087999998,False,131.302597,473.884064,False
49431.536908800001,False,131.64653,474.624268,False
49431.5692672,False,131.505356,475.045837,False
49431.601369600001,False,135.983795,472.370453,False
49431.632575999996,False,143.975174,469.566132,False
49431.664537599994,False,151.2621,468.207306,False
49431.697177599999,False,158.138962,462.855682,False
49431.728972799996,False,155.896439,454.853943,False
49431.777843199998,False,149.07077,445.609497,False
49431.806873599999,False,146.723267,437.681305,False
49431.841395199997,False,141.364883,430.152069,False
49431.871283199995,False,131.562714,415.411804,False
49431.905599999998,False,122.162186,397.623718,False
49431.935846399996,False,109.731094,377.90332,False
49431.969241599996,False,100.67173,358.806702,False
49432.001727999996,False,93.1433105,347.053192,False
