Item1,Item2,Item3,Item4,Item5
43816.233382400002,False,115.211281,103.801109,False
43816.728844799996,False,NaN,NaN,False
43817.222911999997,False,NaN,NaN,False
43817.718963200001,False,NaN,NaN,False
43818.2312064,False,NaN,NaN,False
43818.726975999998,False,NaN,NaN,False
43819.224614399995,False,NaN,NaN,False
43819.719334399997,False,NaN,NaN,False
43820.232447999995,False,NaN,NaN,False
43820.472563199997,False,NaN,NaN,False
43820.504128,True,673.844177,220.741043,False
43820.553420799995,True,626.485046,191.169006,False
43820.584115199999,True,626.151428,190.641846,False
43820.617510399999,True,626.330627,190.184799,False
43820.648793599998,True,626.108582,190.022507,False
43820.682022399997,True,626.606201,189.491852,False
43820.713817600001,True,626.653992,189.036194,False
43820.744486399999,True,626.853394,188.340759,False
43820.777420799997,True,627.225281,187.791641,False
43820.824831999998,True,626.975403,187.806396,False
43820.856883199995,True,627.321899,187.930176,False
43820.888217599997,True,627.063599,188.05217,False
43820.923071999998,True,627.204041,187.691254,False
43820.952358399998,True,627.295776,187.341141,False
43820.9846272,True,629.22406,188.498871,False
43821.016832000001,True,627.714844,186.356873,False
43821.049113599998,True,625.543396,184.362503,False
43821.097881599999,True,624.598816,184.849396,False
43821.128678399997,True,625.543457,187.951981,False
43821.160819199999,True,626.945557,190.371185,False
43821.192640000001,True,628.13147,193.104736,False
43821.225561599997,True,630.493713,198.901291,False
43821.257087999998,True,633.919434,204.473312,False
43821.288985599997,True,638.327271,213.731735,False
43821.319488000001,True,643.521973,225.693878,False
43821.369164799995,True,649.148315,234.018234,False
43821.400908799995,True,655.1073,243.197189,False
43821.432947199995,True,660.004333,252.725464,False
43821.467033599998,True,663.068787,265.405762,False
43821.4975872,True,661.985962,277.571899,False
43821.529510399996,True,660.910339,287.4711,False
43821.559795199995,True,658.034485,299.134918,False
43821.610150399996,True,651.996155,313.051208,False
43821.640127999999,True,649.426208,327.919342,False
43821.672908799999,True,647.541626,341.379303,False
43821.705459199999,True,648.386902,351.708557,False
43821.737523199998,True,650.121521,361.686035,False
43821.768678399996,True,653.139465,371.043915,False
43821.801510400001,True,655.84137,382.77536,False
43821.833817599996,True,654.87561,400.96875,False
43821.883827199999,True,652.160522,428.091583,False
43821.913292799996,True,647.279602,438.187775,False
43821.945356799995,True,643.01001,455.145142,False
43821.9757952,True,640.88678,454.191559,False
43822.008716799995,True,636.27594,446.000305,False
43822.040652799995,True,632.140808,445.035889,False
43822.073203200001,True,627.902283,444.970978,False
43822.105612799998,True,622.354492,446.920776,False
43822.153971200001,True,620.273438,448.247925,False
43822.1848704,True,616.892456,453.028839,False
43822.216998399999,True,616.034058,456.729279,False
43822.249663999995,True,614.302002,459.149475,False
43822.281343999995,True,612.870178,459.688812,False
43822.3131392,True,614.39032,457.646851,False
43822.345356799997,True,612.413025,456.378937,False
43822.378431999998,True,611.433838,454.665009,False
43822.426828799995,True,612.143311,453.299133,False
43822.457920000001,True,612.581665,453.59729,False
43822.490457599997,True,610.535217,453.840332,False
43822.520755199999,True,607.733948,455.499756,False
43822.554201599996,True,605.464722,457.182892,False
43822.586022399999,True,603.283325,459.459625,False
43822.616883199997,True,599.567322,464.316681,False
43822.664307200001,True,594.589966,470.4617,False
43822.697484799995,True,587.663818,479.059967,False
43822.729075199997,True,580.683044,487.834381,False
43822.761267199996,True,570.725891,496.800629,False
43822.7938048,True,559.579773,503.489685,False
43822.826342399996,True,550.19812,504.606598,False
43822.856460800002,True,545.791199,502.368591,False
43822.888934399998,True,541.688721,502.806885,False
43822.938790399996,True,541.430054,504.385223,False
43822.9695488,True,544.476929,504.724335,False
43823.000921599996,True,547.321716,504.137115,False
43823.0330368,True,552.915527,502.480865,False
43823.063923199996,True,556.230408,501.21225,False
43823.096115199995,True,559.651489,500.815186,False
43823.1291136,True,559.688599,500.768646,False
43823.160294399997,True,556.632385,500.244507,False
43823.210035199998,True,555.836182,499.81778,False
43823.240371200001,True,555.596924,499.192902,False
43823.273164799997,True,555.775269,498.554199,False
43823.305791999999,True,555.31366,497.773926,False
43823.338009599996,True,554.162964,497.54422,False
43823.368371199998,True,552.028503,497.024872,False
43823.399987199999,True,548.678589,495.520874,False
43823.449228799996,True,544.339722,492.626373,False
43823.480768000001,True,539.379028,489.565857,False
43823.512384000001,True,533.2323,486.5849,False
43823.545203199996,True,527.837341,483.173157,False
43823.577663999997,True,523.640625,479.726227,False
43823.610009600001,True,516.951111,474.660797,False
43823.6404864,True,510.244232,471.350525,False
43823.672179199995,True,503.006012,471.786041,False
43823.720972800002,True,490.929504,468.007477,False
43823.752128,True,479.553558,465.244904,False
43823.787033599998,True,466.609436,465.383942,False
43823.816473599996,True,456.18866,463.986847,False
43823.849126399997,True,448.273376,460.930115,False
43823.8811776,True,441.713257,456.823059,False
43823.913459199997,True,439.39801,451.25412,False
43823.946342399999,True,438.080353,444.651642,False
43823.993958399995,True,434.3862,438.763245,False
43824.024588799999,True,448.374054,452.13382,False
43824.0570496,True,439.62674,443.262238,False
43824.088345600001,True,429.114563,440.380219,False
43824.121484799995,True,418.419189,438.280457,False
