TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
100054.308,,363.021,391.221,100.054308,0.2726046620193045,0.2827400364496204
100120.967,,363.735,391.646,100.12096700000001,0.5053422248721392,0.5232321943088925
100187.62,,363.201,391.697,100.18762,0.7589178486579627,0.7852567175412019
100254.283,,363.843,392.272,100.254283,1.0390682819771528,1.0747414977730214
100320.942,,363.414,391.986,100.320942,1.328519625798986,1.3738370860300628
100387.596,,362.477,392.951,100.387596,1.5911621873856494,1.6452306488371253
100454.256,,363.833,393.326,100.454256,1.7875902769282717,1.848203536149476
100520.913,,363.361,392.968,100.52091300000001,1.893034195211078,1.9571607458501015
100587.571,,363.084,393.392,100.587571,1.9058777126798518,1.9704321971478955
100654.228,,363.586,392.204,100.654228,1.8423002989043027,1.9047364442037875
100720.892,,363.546,393.03,100.720892,1.7224007990961487,1.7808420067023376
100787.548,,363.552,392.646,100.787548,1.5587382081262349,1.611726333320117
100854.208,,363.433,392.79,100.854208,1.3563555745788052,1.4026005022404142
100920.866,,362.769,392.497,100.92086599999999,1.123131577833429,1.1616057029723414
100987.524,,363.942,391.912,100.98752400000001,0.8794426733302354,0.9097973151385624
101054.18,,362.905,391.471,101.05417999999999,0.6571033396370988,0.6800498455791856
101120.836,,363.213,391.408,101.120836,0.48833760609744387,0.5056609977535403
101187.493,,363.337,391.636,101.187493,0.3937145770210069,0.40788521903164077
101254.153,,363.43,390.857,101.254153,0.3756247660755104,0.3891926727308976
101320.81,,363.306,392.049,101.32081,0.4188518853079096,0.4338600786056133
101387.468,,363.234,391.741,101.387468,0.4981386991338017,0.5157886539204292
101454.131,,363.724,391.819,101.45413099999999,0.588655416145296,0.60932130215133
101520.789,,364.353,392.126,101.52078900000001,0.6715692098928749,0.6949977049211848
101587.447,,362.954,391.696,101.587447,0.7324222338605786,0.7578782939712166
101654.103,,362.881,391.626,101.654103,0.7577863157039592,0.7840874829816338
101720.761,,363.386,391.258,101.720761,0.7350655663470934,0.7606096997908411
101787.421,,362.624,392.065,101.78742100000001,0.6567340161204557,0.6796682165530115
101854.077,,362.858,391.612,101.854077,0.5283468078310288,0.5470032681683119
101920.736,,362.995,391.261,101.920736,0.3742786470299926,0.3878017022746299
101987.393,,363.446,390.908,101.987393,0.23179227819750892,0.24056782268071217
102054.053,,363.053,390.847,102.054053,0.13318544766467366,0.13867550601371967
102120.707,,361.692,389.83,102.120707,0.0884861297614278,0.09248684920378927
102187.366,,361.415,390.391,102.187366,0.08196092895079757,0.08574423488671053
102254.024,,362.35,391.261,102.254024,0.0847371132162372,0.08861291898061721
102320.683,,363.612,391.099,102.320683,0.07281749538826357,0.0762961507839861
102387.344,,363.348,390.632,102.387344,0.0360412406725425,0.03829454611753823
102454.001,,362.27,390.781,102.454001,-0.025295261657136206,-0.025085630335250627
102520.658,,362.885,390.478,102.520658,-0.10677853620332668,-0.10928385035976769
102587.319,,362.645,390.7,102.58731900000001,-0.20165983657056208,-0.20732650572708655
102653.977,,363.766,390.772,102.653977,-0.2995166449562445,-0.3084438102198514
102720.631,,362.786,390.907,102.720631,-0.38562706925468104,-0.3974233522407635
102787.294,,363.991,390.674,102.78729399999999,-0.44342295761015454,-0.4571449448175078
102853.951,,363.178,390.032,102.853951,-0.4614742506200024,-0.4757976898014937
102920.611,,362.605,390.524,102.92061100000001,-0.44229466286242924,-0.455979056358182
102987.268,,363.346,390.382,102.987268,-0.40592445331719973,-0.41839702590245825
103053.924,,363.054,390.272,103.053924,-0.38434244458088046,-0.39609592509039454
103120.585,,362.647,390.819,103.120585,-0.40828054757593923,-0.4208316229888014
103187.238,,363.283,391.041,103.187238,-0.49063724064796826,-0.505932363016615
103253.898,,363.581,390.433,103.253898,-0.6152787414706736,-0.6347268005119698
103320.553,,363.003,389.855,103.320553,-0.7417430640005012,-0.7654047944060645
103387.211,,363.096,389.517,103.387211,-0.8255347556342921,-0.8519883457876315
103453.874,,363.496,390.511,103.453874,-0.8400701804140289,-0.8670080771444062
103520.532,,363.422,390.397,103.520532,-0.7865157858707961,-0.811669300933654
103587.19,,363.547,390.023,103.58719,-0.6898250904420549,-0.711756963176318
103653.847,,363.487,391.178,103.653847,-0.5876086473405712,-0.6061347650710674
103720.505,,363.484,390.345,103.720505,-0.5174999833814184,-0.5336901468775335
103787.16,,363.937,390.803,103.78716,-0.5063740611707652,-0.5221935194839301
103853.819,,363.376,390.808,103.853819,-0.5634754028863472,-0.5811974237850304
103920.479,,363.144,390.274,103.920479,-0.6772828213961745,-0.698796797613346
103987.137,,362.85,390.153,103.987137,-0.8167475899404149,-0.842908400061278
104053.794,,362.772,389.38,104.053794,-0.9398095073140698,-0.9700706238841835
104120.454,,363.386,389.88,104.120454,-1.008869117509516,-1.0414312348368935
104187.114,,364.137,390.405,104.18711400000001,-1.006578245325224,-1.0390640329627014
104253.773,,363.727,390.037,104.253773,-0.9438291080793236,-0.9742241539371727
104320.431,,364.445,390.965,104.320431,-0.8562341594033116,-0.883710624593451
104387.086,,364.629,390.877,104.387086,-0.7904410580488506,-0.8157253594603224
104453.745,,363.969,391.185,104.453745,-0.7847975143875601,-0.809893778273168
104520.405,,364.914,391.212,104.520405,-0.8517428398657464,-0.8790696585457505
104587.065,,364.296,390.576,104.587065,-0.9708995566159166,-1.0021965641617319
104653.721,,363.151,389.655,104.653721,-1.0980100722997344,-1.1335422817532481
104720.377,,363.671,389.508,104.720377,-1.1857480871265862,-1.224203644076358
104787.041,,363.059,389.729,104.787041,-1.205083080631951,-1.2441828612396846
104853.699,,363.641,389.637,104.85369899999999,-1.1561995144481283,-1.1936705409622839
104920.351,,362.882,390.043,104.920351,-1.0645659574411104,-1.0989838406857457
104987.012,,363.314,390.518,104.98701200000001,-0.9657870732554131,-0.9969137377012496
105053.673,,364.847,390.636,105.05367299999999,-0.8890804136420265,-0.9176512848918391
105120.333,,363.847,390.563,105.120333,-0.8494008103977072,-0.8766495948756033
105186.99,,364.262,390.369,105.18699000000001,-0.8499111252988328,-0.8771769129855598
105253.648,,364.743,391.145,105.253648,-0.8879747273256776,-0.9165087581553949
105320.306,,364.858,390.678,105.320306,-0.958314370896386,-0.9891920519822199
105386.964,,363.941,390.457,105.386964,-1.052387292120091,-1.0863993937791248
105453.624,,364.822,390.739,105.45362399999999,-1.1559277165768354,-1.1933896870435285
105520.281,,364.553,390.589,105.520281,-1.2471980682888104,-1.2877010803688378
105586.937,,364.709,390.427,105.586937,-1.2989107807680826,-1.341136811414798
105653.595,,364.669,390.2,105.653595,-1.2855508561414806,-1.3273317467621255
105720.256,,363.78,389.798,105.72025599999999,-1.1935970164434209,-1.2323140922788427
105786.916,,362.7,389.923,105.78691599999999,-1.0283564919214672,-1.0615679100941882
105853.573,,363.104,389.876,105.853573,-0.8132370670220957,-0.8392809098465814
105920.231,,363.854,390.587,105.920231,-0.5836129419449272,-0.6020059265587556
105986.889,,363.436,390.587,105.98688899999999,-0.3792352584205902,-0.39081857232781597
106053.547,,362.605,390.756,106.05354700000001,-0.2355390945461945,-0.24233458846782904
106120.202,,363.626,390.755,106.120202,-0.1740030302109943,-0.17874820079263887
106186.863,,363.266,391.002,106.186863,-0.19546651243228305,-0.20092682589853025
106253.519,,364.919,391.562,106.253519,-0.28030311698395155,-0.28859010570603383
106320.179,,365.594,391.618,106.32017900000001,-0.39548686132824873,-0.4076116632411473
106386.84,,365.806,391.816,106.38683999999999,-0.5053543433825611,-0.5211398256655079
106453.498,,365.553,391.916,106.45349800000001,-0.5813441354525067,-0.5996615255843744
106520.152,,365.801,391.155,106.520152,-0.6075235083024577,-0.626713170324971
106586.817,,365.074,391.785,106.586817,-0.58169112552072,-0.6000200770327846
106653.473,,365.58,391.85,106.65347299999999,-0.5125287804228158,-0.5285533081480384
106720.132,,364.485,391.049,106.72013199999999,-0.41464451564591553,-0.4274076324431234
106786.79,,364.364,391.042,106.78679,-0.30550009454650207,-0.3146266226793645
106853.444,,364.782,391.535,106.853444,-0.20470968100779452,-0.21047796809033606
106920.106,,364.284,391.703,106.920106,-0.13117890011513758,-0.1344972112705436
106986.767,,364.359,391.597,106.986767,-0.09663422388401981,-0.09880153916872399
107053.424,,364.275,391.064,107.05342399999999,-0.10100790822865933,-0.10332095053036472
107120.082,,363.137,390.877,107.120082,-0.1347330082041677,-0.13816973887252942
107186.737,,363.153,390.354,107.186737,-0.185978243238152,-0.19112241656779794
107253.401,,363.346,390.579,107.253401,-0.2469169656495401,-0.2540915594524331
107320.056,,363.477,390.797,107.320056,-0.3145961339337597,-0.3240257334778123
107386.715,,363.548,391.396,107.386715,-0.3857485722724164,-0.3975489036238897
107453.375,,364.426,390.478,107.453375,-0.4508199837700559,-0.46478843287818244
107520.029,,363.412,390.47,107.520029,-0.4948088524897958,-0.5102429690111736
107586.693,,363.985,390.81,107.586693,-0.5046943516854515,-0.5204578436705882
107653.351,,363.48,390.548,107.653351,-0.4755448463917737,-0.49033710448832063
107720.006,,363.666,390.853,107.720006,-0.4112550060849377,-0.42390518763613866
107786.667,,363.598,390.602,107.786667,-0.32315123500243564,-0.3328658824056028
107853.322,,363.37,390.288,107.853322,-0.2296053278748328,-0.23620311431498012
107919.982,,363.752,391.131,107.919982,-0.1542039198935095,-0.15828940288490054
107986.637,,364.127,391.858,107.986637,-0.11750634074180474,-0.12036909517769356
108053.301,,364.905,391.952,108.053301,-0.12429506097599942,-0.12738400913576714
108119.955,,365.345,391.684,108.119955,-0.15784673665568288,-0.162053594848941
108186.618,,366.433,391.847,108.186618,-0.18983459495740962,-0.195107258271305
108253.271,,366.282,392.134,108.253271,-0.19865165916222102,-0.20421809869863922
108319.929,,365.201,392.565,108.319929,-0.17914108759466643,-0.18405745337850277
108386.593,,365.727,392.365,108.38659299999999,-0.1367112856594417,-0.14021393065760895
108453.248,,366.406,391.826,108.453248,-0.07669776466108826,-0.07820081602018819
108519.909,,365.246,392.345,108.519909,-0.0011960017322736878,-0.0001834059108829609
108586.567,,365.251,392.392,108.586567,0.08855840291095742,0.09256153042616097
108653.226,,365.693,392.182,108.65322599999999,0.19064539742848366,0.19804996684332754
108719.885,,365.51,392.249,108.71988499999999,0.3003384332934473,0.3113978706966497
108786.538,,365.32,392.46,108.78653800000001,0.405701976012389,0.4202720267958024
