pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,20,,,
1,2,10,,,
2,3,30,,,
3,4,40,,,
4,5,10,,,
5,6,20,,,
6,7,30,,,
7,8,50,,,
8,9,25,,,
9,10,35,,,
10,11,15,,,
