pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,20,,,
2,3,10,,,
3,4,40,,,
4,5,25,,,
5,6,50,,,
6,7,35,,,
7,8,15,,,
8,9,20,,,
9,10,45,,,
