pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,20,,,exclude
2,3,25,,,
3,4,40,,,
4,5,35,,,
5,6,45,,,
6,7,25,,,
7,8,50,,,
8,9,30,,,
9,10,45,,,
