pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,5,,,
3,4,15,,,
4,5,8,,,
5,6,12,,,
6,7,3,,,
7,8,9,,,
8,9,11,,,
9,10,7,,,
