pyabf_sweep,clampex_sweep,UV_perc,B_perc,GR_perc,notes
0,1,30,,,
1,2,10,,,
2,3,30,,,
3,4,5,,,
4,5,20,,,
5,6,15,,,
6,7,8,,,
7,8,25,,,
8,9,13,,,
9,10,40,,,
