Time,Activity wustl-activity.wakefield-0002cc0100000541
2/29/2020 12:00,0.141
2/29/2020 13:00,0.137
2/29/2020 14:00,2.47
2/29/2020 15:00,1.38
2/29/2020 16:00,0.0244
2/29/2020 17:00,1.56
2/29/2020 18:00,1.74
2/29/2020 19:00,0.116
2/29/2020 20:00,1.83
2/29/2020 21:00,7.62
2/29/2020 22:00,8.31
2/29/2020 23:00,4.21
3/1/2020 0:00,1.46
3/1/2020 1:00,22
3/1/2020 2:00,4.11
3/1/2020 3:00,3.62
3/1/2020 4:00,15.3
3/1/2020 5:00,28.1
3/1/2020 6:00,3.44
3/1/2020 7:00,5.04
3/1/2020 8:00,4.15
3/1/2020 9:00,0.0244
3/1/2020 10:00,9.52
3/1/2020 11:00,0.0338
3/1/2020 12:00,1.93
3/1/2020 13:00,0.0493
3/1/2020 14:00,1.39
3/1/2020 15:00,0.202
3/1/2020 16:00,0.956
3/1/2020 17:00,4.3
3/1/2020 18:00,2.01
3/1/2020 19:00,0.456
3/1/2020 20:00,3.25
3/1/2020 21:00,12.8
3/1/2020 22:00,37.5
3/1/2020 23:00,27.7
3/2/2020 0:00,1.67
3/2/2020 1:00,7.89
3/2/2020 2:00,5.69
3/2/2020 3:00,10.1
3/2/2020 4:00,0.802
3/2/2020 5:00,4.78
3/2/2020 6:00,0.427
3/2/2020 7:00,26
3/2/2020 8:00,7.81
3/2/2020 9:00,0.283
3/2/2020 10:00,7.02
3/2/2020 11:00,7.17
3/2/2020 12:00,13.7
3/2/2020 13:00,0.0732
3/2/2020 14:00,2.39
3/2/2020 15:00,0.397
3/2/2020 16:00,4.44
3/2/2020 17:00,0.385
3/2/2020 18:00,2.76
3/2/2020 19:00,2.56
3/2/2020 20:00,13.9
3/2/2020 21:00,25
3/2/2020 22:00,29.3
3/2/2020 23:00,8.5
3/3/2020 0:00,3.84
3/3/2020 1:00,27.5
3/3/2020 2:00,5.18
3/3/2020 3:00,1.25
3/3/2020 4:00,6.6
3/3/2020 5:00,14.5
3/3/2020 6:00,10.2
3/3/2020 7:00,30.7
3/3/2020 8:00,27.7
3/3/2020 9:00,1
3/3/2020 10:00,2.11
3/3/2020 11:00,12
3/3/2020 12:00,5.7
3/3/2020 13:00,1.4
3/3/2020 14:00,21.7
3/3/2020 15:00,10.8
3/3/2020 16:00,3.31
3/3/2020 17:00,2.76
3/3/2020 18:00,8.29
3/3/2020 19:00,18.2
3/3/2020 20:00,21.8
3/3/2020 21:00,34
3/3/2020 22:00,21.8
3/3/2020 23:00,4.23
3/4/2020 0:00,7.26
3/4/2020 1:00,14.1
3/4/2020 2:00,11.5
3/4/2020 3:00,0.615
3/4/2020 4:00,8.84
3/4/2020 5:00,22.8
3/4/2020 6:00,12.1
3/4/2020 7:00,25.4
3/4/2020 8:00,18.6
3/4/2020 9:00,3.99
3/4/2020 10:00,29.1
3/4/2020 11:00,6.37
3/4/2020 12:00,10.2
3/4/2020 13:00,6.27
3/4/2020 14:00,16.3
3/4/2020 15:00,2.83
3/4/2020 16:00,8.07
3/4/2020 17:00,1.96
3/4/2020 18:00,9.18
3/4/2020 19:00,12.6
3/4/2020 20:00,10.6
3/4/2020 21:00,20.6
3/4/2020 22:00,26.7
3/4/2020 23:00,26.6
3/5/2020 0:00,27.8
3/5/2020 1:00,7.83
3/5/2020 2:00,35.4
3/5/2020 3:00,30.1
3/5/2020 4:00,31.8
3/5/2020 5:00,35.5
3/5/2020 6:00,21.7
3/5/2020 7:00,29.2
3/5/2020 8:00,22.2
3/5/2020 9:00,21
3/5/2020 10:00,27.9
3/5/2020 11:00,4.82
3/5/2020 12:00,6.28
3/5/2020 13:00,0.605
3/5/2020 14:00,10.6
3/5/2020 15:00,3.29
3/5/2020 16:00,4.94
3/5/2020 17:00,11.1
3/5/2020 18:00,7.81
3/5/2020 19:00,20.4
3/5/2020 20:00,12.1
3/5/2020 21:00,12.5
3/5/2020 22:00,23
3/5/2020 23:00,31.3
3/6/2020 0:00,20.3
3/6/2020 1:00,20.7
3/6/2020 2:00,2.16
3/6/2020 3:00,0.0723
3/6/2020 4:00,2.38
3/6/2020 5:00,4.34
3/6/2020 6:00,0.59
3/6/2020 7:00,2.21
3/6/2020 8:00,25.7
3/6/2020 9:00,15
3/6/2020 10:00,0.0501
3/6/2020 11:00,10.7
3/6/2020 12:00,0.241
3/6/2020 13:00,2.7
3/6/2020 14:00,17.2
3/6/2020 15:00,0.0336
3/6/2020 16:00,1.45
3/6/2020 17:00,0.922
3/6/2020 18:00,3.12
3/6/2020 19:00,15.3
3/6/2020 20:00,3.91
3/6/2020 21:00,15.6
3/6/2020 22:00,32.2
3/6/2020 23:00,29.7
3/7/2020 0:00,28.5
3/7/2020 1:00,20.6
3/7/2020 2:00,0.674
3/7/2020 3:00,2.92
3/7/2020 4:00,10.6
3/7/2020 5:00,12.7
3/7/2020 6:00,5.17
3/7/2020 7:00,26.3
3/7/2020 8:00,6
3/7/2020 9:00,39.1
3/7/2020 10:00,13.9
3/7/2020 11:00,0.882
3/7/2020 12:00,11.1
3/7/2020 13:00,0.729
3/7/2020 14:00,
