Time,Activity wustl-activity.wakefield-0002cc0100000547
2/29/2020 12:00,0.363
2/29/2020 13:00,14.3
2/29/2020 14:00,6.87
2/29/2020 15:00,4.92
2/29/2020 16:00,2.14
2/29/2020 17:00,3.12
2/29/2020 18:00,5.15
2/29/2020 19:00,2.79
2/29/2020 20:00,9.47
2/29/2020 21:00,25.9
2/29/2020 22:00,29.7
2/29/2020 23:00,29.6
3/1/2020 0:00,23.9
3/1/2020 1:00,20.4
3/1/2020 2:00,27.6
3/1/2020 3:00,15.5
3/1/2020 4:00,11
3/1/2020 5:00,37
3/1/2020 6:00,23.2
3/1/2020 7:00,14.5
3/1/2020 8:00,7
3/1/2020 9:00,4.82
3/1/2020 10:00,18.4
3/1/2020 11:00,1.43
3/1/2020 12:00,0.0334
3/1/2020 13:00,7.2
3/1/2020 14:00,5.4
3/1/2020 15:00,0.41
3/1/2020 16:00,0.239
3/1/2020 17:00,8.3
3/1/2020 18:00,0.115
3/1/2020 19:00,2.69
3/1/2020 20:00,5.42
3/1/2020 21:00,29.1
3/1/2020 22:00,25
3/1/2020 23:00,14.9
3/2/2020 0:00,32.4
3/2/2020 1:00,33.6
3/2/2020 2:00,0.885
3/2/2020 3:00,1.85
3/2/2020 4:00,0.844
3/2/2020 5:00,2.91
3/2/2020 6:00,15.9
3/2/2020 7:00,35.4
3/2/2020 8:00,14.8
3/2/2020 9:00,28.6
3/2/2020 10:00,0.0444
3/2/2020 11:00,11.9
3/2/2020 12:00,1.9
3/2/2020 13:00,0.324
3/2/2020 14:00,1.64
3/2/2020 15:00,0.0244
3/2/2020 16:00,4.61
3/2/2020 17:00,1.75
3/2/2020 18:00,4.44
3/2/2020 19:00,0.114
3/2/2020 20:00,17.1
3/2/2020 21:00,20
3/2/2020 22:00,22.4
3/2/2020 23:00,6.43
3/3/2020 0:00,48.5
3/3/2020 1:00,8.11
3/3/2020 2:00,11.4
3/3/2020 3:00,11.1
3/3/2020 4:00,13.4
3/3/2020 5:00,13
3/3/2020 6:00,31.8
3/3/2020 7:00,46.4
3/3/2020 8:00,26.7
3/3/2020 9:00,19.8
3/3/2020 10:00,12.5
3/3/2020 11:00,17.9
3/3/2020 12:00,15
3/3/2020 13:00,22.5
3/3/2020 14:00,24.7
3/3/2020 15:00,10.2
3/3/2020 16:00,16.7
3/3/2020 17:00,27
3/3/2020 18:00,32.4
3/3/2020 19:00,23
3/3/2020 20:00,50.9
3/3/2020 21:00,41.8
3/3/2020 22:00,38.8
3/3/2020 23:00,26.1
3/4/2020 0:00,36.5
3/4/2020 1:00,20.2
3/4/2020 2:00,18
3/4/2020 3:00,25.2
3/4/2020 4:00,17.7
3/4/2020 5:00,29.2
3/4/2020 6:00,35.8
3/4/2020 7:00,36.6
3/4/2020 8:00,16.4
3/4/2020 9:00,21.4
3/4/2020 10:00,30.5
3/4/2020 11:00,11.6
3/4/2020 12:00,15.8
3/4/2020 13:00,14.2
3/4/2020 14:00,16.1
3/4/2020 15:00,26.8
3/4/2020 16:00,6.08
3/4/2020 17:00,11.2
3/4/2020 18:00,31.9
3/4/2020 19:00,14.5
3/4/2020 20:00,44.8
3/4/2020 21:00,37.2
3/4/2020 22:00,37.7
3/4/2020 23:00,53
3/5/2020 0:00,44.8
3/5/2020 1:00,41
3/5/2020 2:00,38.7
3/5/2020 3:00,51.9
3/5/2020 4:00,34.3
3/5/2020 5:00,40.7
3/5/2020 6:00,33.9
3/5/2020 7:00,34.5
3/5/2020 8:00,22
3/5/2020 9:00,30.2
3/5/2020 10:00,29.5
3/5/2020 11:00,7.06
3/5/2020 12:00,21.1
3/5/2020 13:00,12.3
3/5/2020 14:00,36.5
3/5/2020 15:00,18
3/5/2020 16:00,27.5
3/5/2020 17:00,15.1
3/5/2020 18:00,24.2
3/5/2020 19:00,23.1
3/5/2020 20:00,31.4
3/5/2020 21:00,31.1
3/5/2020 22:00,29.7
3/5/2020 23:00,19.5
3/6/2020 0:00,34.7
3/6/2020 1:00,44.6
3/6/2020 2:00,9.43
3/6/2020 3:00,13.5
3/6/2020 4:00,20.6
3/6/2020 5:00,16.6
3/6/2020 6:00,27.1
3/6/2020 7:00,37.5
3/6/2020 8:00,21.2
3/6/2020 9:00,25.2
3/6/2020 10:00,12.3
3/6/2020 11:00,2.87
3/6/2020 12:00,4.89
3/6/2020 13:00,11.6
3/6/2020 14:00,8.37
3/6/2020 15:00,5.52
3/6/2020 16:00,1.32
3/6/2020 17:00,3.98
3/6/2020 18:00,7.89
3/6/2020 19:00,20.5
3/6/2020 20:00,6.28
3/6/2020 21:00,20.9
3/6/2020 22:00,38.3
3/6/2020 23:00,25.5
3/7/2020 0:00,23.2
3/7/2020 1:00,28.4
3/7/2020 2:00,13.6
3/7/2020 3:00,6.88
3/7/2020 4:00,5.13
3/7/2020 5:00,25
3/7/2020 6:00,18
3/7/2020 7:00,15.6
3/7/2020 8:00,8.71
3/7/2020 9:00,21.6
3/7/2020 10:00,6.59
3/7/2020 11:00,30.8
3/7/2020 12:00,9.46
3/7/2020 13:00,25.1
3/7/2020 14:00,
